"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed"
29,"admin.","single","university.degree","no","no","no","cellular","jun","wed",174,1,999,0,"nonexistent",-29,92963,-408,"1.26",50762
40,"technician","divorced","university.degree","no","yes","no","cellular","apr","thu",335,1,999,0,"nonexistent",-18,93075,-471,"1.365",50991
37,"technician","divorced","professional.course","no","no","no","cellular","aug","fri",780,2,999,0,"nonexistent",14,93444,-361,"4.966",52281
56,"self-employed","married","basic.9y","no","yes","no","cellular","aug","thu",793,5,999,0,"nonexistent",14,93444,-361,"4.963",52281
59,"technician","married","professional.course","no","yes","no","cellular","aug","wed",210,4,999,0,"nonexistent",-29,92201,-314,"0.834",50762
38,"services","single","high.school","no","no","no","cellular","sep","fri",256,2,999,0,"nonexistent",-11,94199,-375,"0.878",49636
31,"services","single","professional.course","no","yes","no","telephone","oct","tue",373,1,999,0,"nonexistent",-34,92431,-269,"0.737",50175
70,"blue-collar","married","basic.4y","no","no","yes","cellular","jun","fri",252,1,3,1,"success",-17,94055,-398,"0.732",49916
29,"student","single","high.school","no","no","yes","telephone","may","mon",630,1,999,0,"nonexistent",11,93994,-364,"4.857",5191
34,"housemaid","divorced","high.school","no","no","no","telephone","may","fri",553,3,999,0,"nonexistent",11,93994,-364,"4.864",5191
50,"technician","married","basic.9y","no","no","no","cellular","nov","fri",705,1,999,0,"nonexistent",-1,932,-42,"4.021",51958
27,"admin.","single","university.degree","no","no","no","cellular","jun","mon",138,3,999,0,"nonexistent",-29,92963,-408,"1.281",50762
45,"unknown","unknown","unknown","no","yes","no","cellular","jul","wed",586,1,999,0,"nonexistent",14,93918,-427,"4.957",52281
36,"blue-collar","married","unknown","no","no","no","cellular","apr","thu",1174,1,999,0,"nonexistent",-18,93075,-471,"1.41",50991
48,"admin.","married","university.degree","no","yes","yes","cellular","aug","wed",288,1,0,3,"success",-17,94027,-383,"0.9",49916
29,"admin.","married","university.degree","no","yes","no","cellular","jun","tue",201,1,999,0,"nonexistent",-17,94055,-398,"0.702",49916
24,"admin.","single","high.school","no","no","no","cellular","jul","mon",452,1,14,1,"success",-17,94215,-403,"0.827",49916
71,"retired","married","basic.4y","no","yes","no","cellular","aug","fri",125,1,999,0,"nonexistent",-29,92201,-314,"0.869",50762
34,"admin.","married","university.degree","no","yes","no","cellular","aug","wed",250,1,10,2,"failure",-17,94027,-383,"0.9",49916
39,"entrepreneur","single","basic.6y","no","no","no","telephone","jun","thu",1053,2,999,0,"nonexistent",14,94465,-418,"4.866",52281
34,"admin.","married","high.school","no","no","no","telephone","jun","wed",638,1,999,0,"nonexistent",14,94465,-418,"4.864",52281
43,"admin.","married","university.degree","unknown","yes","no","telephone","may","fri",2016,2,999,0,"nonexistent",11,93994,-364,"4.855",5191
34,"admin.","married","high.school","no","yes","no","telephone","jun","mon",491,6,999,0,"nonexistent",14,94465,-418,"4.961",52281
38,"admin.","single","high.school","no","yes","yes","cellular","aug","mon",167,1,999,0,"nonexistent",-29,92201,-314,"0.884",50762
76,"retired","married","basic.4y","no","yes","no","cellular","aug","fri",345,2,999,0,"nonexistent",-29,92201,-314,"0.881",50762
28,"technician","single","professional.course","no","yes","no","cellular","jun","tue",318,1,999,0,"nonexistent",-29,92963,-408,"1.262",50762
38,"admin.","single","basic.9y","no","no","no","cellular","may","thu",275,2,999,0,"nonexistent",-18,93876,-40,"0.699",50087
45,"management","married","university.degree","no","yes","yes","cellular","nov","mon",789,1,999,0,"nonexistent",-1,932,-42,"4.191",51958
52,"blue-collar","married","basic.4y","unknown","yes","no","cellular","jul","fri",2015,1,999,0,"nonexistent",14,93918,-427,"4.962",52281
33,"admin.","single","university.degree","no","no","no","cellular","oct","thu",410,1,999,1,"failure",-34,92431,-269,"0.722",50175
28,"management","married","university.degree","no","yes","no","telephone","jun","wed",695,1,999,0,"nonexistent",14,94465,-418,"4.962",52281
31,"admin.","single","university.degree","no","yes","no","cellular","nov","thu",353,1,999,0,"nonexistent",-11,94767,-508,"1.031",49636
23,"blue-collar","single","basic.9y","no","yes","no","cellular","may","mon",657,1,999,0,"nonexistent",-18,92893,-462,"1.299",50991
53,"blue-collar","single","basic.9y","no","no","no","telephone","jul","wed",413,1,6,2,"success",-17,94215,-403,"0.84",49916
38,"entrepreneur","married","unknown","unknown","no","no","cellular","may","tue",1272,1,999,0,"nonexistent",-18,92893,-462,"1.291",50991
59,"retired","married","basic.9y","unknown","no","no","cellular","jul","fri",1330,3,999,0,"nonexistent",14,93918,-427,"4.962",52281
48,"blue-collar","married","unknown","no","no","no","cellular","aug","mon",528,3,999,0,"nonexistent",14,93444,-361,"4.963",52281
28,"management","single","university.degree","no","yes","no","cellular","jun","thu",1161,1,4,1,"success",-29,92963,-408,"1.26",50762
33,"entrepreneur","single","university.degree","no","no","no","cellular","may","mon",637,4,999,1,"failure",-18,92893,-462,"1.244",50991
56,"blue-collar","married","basic.4y","no","yes","no","cellular","mar","fri",283,1,999,0,"nonexistent",-18,92843,-50,"1.531",50991
35,"technician","single","professional.course","no","yes","no","cellular","jun","tue",187,1,6,2,"success",-17,94055,-398,"0.713",49916
34,"technician","married","professional.course","no","yes","no","cellular","nov","tue",336,4,999,0,"nonexistent",-34,92649,-301,"0.715",50175
56,"management","married","basic.6y","no","yes","no","cellular","jun","tue",910,1,7,2,"success",-17,94055,-398,"0.723",49916
31,"admin.","single","university.degree","no","yes","no","telephone","oct","tue",125,1,999,0,"nonexistent",-1,93798,-404,"4.86",51958
33,"services","married","high.school","no","yes","no","cellular","oct","thu",313,3,999,0,"nonexistent",-34,92431,-269,"0.733",50175
30,"unemployed","married","high.school","no","yes","no","cellular","may","mon",214,3,3,1,"success",-18,92893,-462,"1.354",50991
55,"admin.","divorced","university.degree","no","yes","no","cellular","apr","wed",952,1,999,0,"nonexistent",-18,93075,-471,"1.445",50991
26,"student","single","high.school","no","yes","yes","cellular","apr","fri",888,1,6,2,"success",-18,93749,-346,"0.645",50087
60,"blue-collar","married","basic.9y","no","yes","no","cellular","may","mon",193,1,999,1,"failure",-18,92893,-462,"1.354",50991
56,"unknown","married","unknown","no","no","no","telephone","oct","fri",235,1,999,0,"nonexistent",-1,93798,-404,"5.045",51958
48,"admin.","divorced","university.degree","no","no","no","cellular","aug","thu",172,3,3,6,"success",-17,94027,-383,"0.904",49916
36,"technician","married","high.school","no","yes","no","cellular","aug","mon",630,6,999,0,"nonexistent",14,93444,-361,"4.965",52281
34,"self-employed","married","university.degree","no","no","no","cellular","oct","wed",201,1,5,3,"failure",-34,92431,-269,"0.74",50175
38,"technician","married","university.degree","no","yes","no","cellular","mar","tue",122,1,999,0,"nonexistent",-18,92843,-50,"1.687",50991
39,"management","married","university.degree","no","yes","no","cellular","may","fri",837,1,999,0,"nonexistent",-18,92893,-462,"1.25",50991
25,"admin.","married","university.degree","no","unknown","unknown","cellular","may","mon",612,7,999,0,"nonexistent",-18,92893,-462,"1.264",50991
67,"retired","married","basic.4y","no","no","no","cellular","aug","mon",341,2,13,1,"success",-17,94027,-383,"0.898",49916
60,"management","married","university.degree","no","yes","yes","cellular","jul","thu",395,1,4,2,"success",-17,94215,-403,"0.782",49916
29,"blue-collar","divorced","high.school","no","no","no","cellular","may","fri",760,1,999,0,"nonexistent",-18,92893,-462,"1.25",50991
35,"blue-collar","married","unknown","unknown","no","no","cellular","jul","tue",560,1,999,0,"nonexistent",14,93918,-427,"4.961",52281
77,"retired","married","university.degree","no","yes","no","telephone","may","wed",372,1,3,4,"success",-18,93876,-40,"0.682",50087
39,"technician","divorced","professional.course","no","yes","no","cellular","aug","tue",1134,1,999,0,"nonexistent",14,93444,-361,"4.968",52281
39,"management","married","university.degree","no","yes","no","telephone","aug","wed",306,1,999,0,"nonexistent",14,93444,-361,"4.965",52281
38,"technician","married","basic.6y","unknown","no","no","telephone","may","fri",785,1,999,0,"nonexistent",11,93994,-364,"4.857",5191
22,"admin.","single","university.degree","no","no","no","cellular","apr","fri",149,1,999,0,"nonexistent",-18,93075,-471,"1.405",50991
32,"self-employed","single","professional.course","unknown","no","no","cellular","may","thu",561,3,999,0,"nonexistent",-18,92893,-462,"1.266",50991
31,"admin.","single","university.degree","no","yes","no","cellular","jun","tue",282,2,13,1,"success",-29,92963,-408,"1.262",50762
30,"admin.","married","university.degree","no","no","no","telephone","aug","wed",588,3,999,0,"nonexistent",14,93444,-361,"4.964",52281
30,"self-employed","single","university.degree","no","no","no","telephone","jun","wed",587,1,999,0,"nonexistent",14,94465,-418,"4.959",52281
48,"unemployed","married","professional.course","no","no","no","telephone","may","wed",360,1,6,1,"success",-18,93876,-40,"0.682",50087
26,"student","single","professional.course","no","yes","no","cellular","aug","tue",176,2,999,1,"failure",-29,92201,-314,"0.883",50762
39,"admin.","married","high.school","no","no","no","cellular","may","mon",1063,5,999,0,"nonexistent",-18,92893,-462,"1.354",50991
62,"technician","married","unknown","no","yes","no","cellular","jul","mon",248,1,999,2,"failure",-17,94215,-403,"0.827",49916
31,"technician","married","professional.course","no","yes","no","cellular","aug","thu",707,1,999,0,"nonexistent",14,93444,-361,"4.964",52281
36,"self-employed","married","basic.9y","unknown","yes","yes","cellular","aug","thu",593,2,999,0,"nonexistent",14,93444,-361,"4.964",52281
75,"retired","married","unknown","no","no","no","telephone","aug","tue",676,2,999,4,"failure",-17,94027,-383,"0.899",49916
44,"admin.","single","university.degree","no","no","no","cellular","jun","tue",924,2,4,1,"success",-29,92963,-408,"1.262",50762
38,"admin.","married","university.degree","no","unknown","unknown","cellular","apr","mon",124,1,999,0,"nonexistent",-18,93075,-471,"1.392",50991
41,"services","single","high.school","no","yes","yes","cellular","apr","wed",264,2,999,0,"nonexistent",-18,93075,-471,"1.415",50991
59,"retired","divorced","basic.4y","no","no","yes","cellular","jul","mon",210,3,999,2,"failure",-17,94215,-403,"0.827",49916
34,"technician","married","professional.course","no","yes","no","cellular","may","mon",934,1,999,1,"failure",-18,92893,-462,"1.299",50991
25,"student","single","high.school","no","yes","no","cellular","may","thu",959,3,999,1,"failure",-18,92893,-462,"1.266",50991
53,"management","divorced","university.degree","no","yes","no","cellular","apr","thu",297,1,2,1,"success",-18,93075,-471,"1.365",50991
31,"admin.","single","university.degree","no","unknown","unknown","cellular","oct","tue",192,1,3,1,"success",-11,94601,-495,"1.008",49636
34,"admin.","married","university.degree","no","yes","yes","cellular","apr","thu",177,2,999,0,"nonexistent",-18,93075,-471,"1.365",50991
44,"admin.","single","university.degree","no","yes","no","telephone","jun","thu",541,17,999,0,"nonexistent",14,94465,-418,"4.958",52281
30,"admin.","married","university.degree","no","no","no","cellular","jun","tue",250,2,999,0,"nonexistent",-29,92963,-408,"1.262",50762
66,"retired","married","basic.4y","unknown","yes","no","cellular","aug","tue",142,2,999,0,"nonexistent",-29,92201,-314,"0.838",50762
31,"admin.","single","high.school","no","yes","no","cellular","sep","fri",210,1,999,0,"nonexistent",-34,92379,-298,"0.773",50175
54,"technician","married","professional.course","no","no","no","telephone","may","wed",796,1,999,0,"nonexistent",11,93994,-364,"4.857",5191
56,"technician","married","basic.4y","no","no","no","cellular","oct","thu",306,3,3,1,"success",-34,92431,-269,"0.733",50175
63,"housemaid","married","basic.4y","no","yes","no","cellular","sep","wed",299,1,3,1,"success",-34,92379,-298,"0.749",50175
33,"admin.","single","high.school","no","no","no","cellular","may","thu",492,1,12,2,"failure",-18,92893,-462,"1.266",50991
56,"admin.","married","basic.9y","no","no","no","cellular","aug","wed",338,2,4,1,"success",-29,92201,-314,"0.879",50762
32,"technician","single","high.school","no","yes","no","cellular","may","tue",1531,1,999,0,"nonexistent",-18,92893,-462,"1.291",50991
36,"management","married","university.degree","no","no","no","cellular","jun","tue",265,1,999,1,"failure",-17,94055,-398,"0.761",49916
56,"retired","married","university.degree","no","yes","no","cellular","nov","wed",968,2,3,3,"success",-34,92649,-301,"0.716",50175
34,"admin.","divorced","university.degree","no","no","no","cellular","nov","fri",549,2,999,0,"nonexistent",-1,932,-42,"4.021",51958
34,"admin.","married","high.school","no","yes","no","cellular","jun","wed",238,1,6,2,"success",-17,94055,-398,"0.704",49916
29,"admin.","married","high.school","no","no","no","cellular","jun","mon",155,1,999,1,"failure",-29,92963,-408,"1.26",50762
30,"student","single","unknown","no","no","no","cellular","dec","wed",343,1,4,2,"success",-3,92713,-33,"0.715",50235
54,"admin.","married","university.degree","no","no","yes","cellular","jul","tue",822,6,13,1,"success",-29,92469,-336,"0.908",50762
52,"admin.","married","university.degree","no","yes","yes","cellular","may","thu",250,1,3,5,"success",-18,93876,-40,"0.677",50087
23,"admin.","single","professional.course","no","yes","no","cellular","jul","wed",902,2,999,0,"nonexistent",14,93918,-427,"4.963",52281
31,"technician","single","university.degree","no","yes","no","telephone","mar","fri",228,2,999,0,"nonexistent",-18,92843,-50,"1.531",50991
39,"services","married","university.degree","no","no","no","cellular","apr","thu",237,1,999,0,"nonexistent",-18,93075,-471,"1.365",50991
42,"services","married","university.degree","no","no","no","cellular","dec","wed",179,1,6,1,"success",-3,92713,-33,"0.715",50235
75,"retired","married","unknown","no","no","no","cellular","sep","tue",191,1,999,1,"failure",-34,92379,-298,"0.788",50175
31,"services","married","basic.9y","no","no","no","cellular","jun","mon",84,1,999,0,"nonexistent",-29,92963,-408,"1.266",50762
43,"technician","married","professional.course","no","no","no","cellular","sep","tue",293,1,999,0,"nonexistent",-34,92379,-298,"0.788",50175
33,"admin.","single","university.degree","no","yes","no","cellular","jul","fri",614,2,999,0,"nonexistent",14,93918,-427,"4.963",52281
41,"admin.","divorced","university.degree","no","no","no","cellular","jul","mon",128,2,999,0,"nonexistent",-17,94215,-403,"0.793",49916
32,"unemployed","single","university.degree","no","no","no","cellular","apr","wed",110,1,999,0,"nonexistent",-18,93075,-471,"1.415",50991
27,"admin.","single","professional.course","no","yes","no","cellular","jul","tue",1061,4,999,0,"nonexistent",14,93918,-427,"4.962",52281
32,"technician","married","professional.course","no","yes","no","telephone","nov","tue",399,1,999,0,"nonexistent",-1,932,-42,"4.7",51958
27,"blue-collar","single","basic.9y","unknown","yes","yes","cellular","may","thu",623,1,999,0,"nonexistent",-18,92893,-462,"1.327",50991
36,"admin.","married","high.school","unknown","no","no","cellular","may","mon",899,3,999,0,"nonexistent",-18,92893,-462,"1.244",50991
36,"admin.","divorced","university.degree","no","no","no","cellular","aug","mon",559,1,5,1,"success",-29,92201,-314,"0.884",50762
50,"blue-collar","married","basic.6y","no","yes","no","cellular","may","mon",293,3,3,1,"success",-18,92893,-462,"1.354",50991
30,"unemployed","single","basic.9y","no","yes","no","cellular","nov","tue",537,1,999,0,"nonexistent",-34,92649,-301,"0.72",50175
25,"technician","single","university.degree","no","no","no","cellular","jul","tue",460,3,999,0,"nonexistent",14,93918,-427,"4.962",52281
29,"blue-collar","single","basic.9y","no","no","yes","cellular","oct","wed",107,2,999,0,"nonexistent",-34,92431,-269,"0.735",50175
55,"management","married","university.degree","no","no","no","cellular","aug","mon",372,3,999,0,"nonexistent",14,93444,-361,"4.965",52281
40,"management","married","university.degree","no","yes","yes","cellular","nov","fri",957,1,999,1,"failure",-1,932,-42,"4.021",51958
30,"self-employed","married","basic.9y","no","no","no","telephone","may","tue",3094,2,999,0,"nonexistent",11,93994,-364,"4.857",5191
42,"entrepreneur","married","professional.course","no","yes","no","telephone","jun","fri",291,5,999,0,"nonexistent",14,94465,-418,"4.959",52281
30,"admin.","single","university.degree","no","no","no","cellular","jun","thu",323,1,999,0,"nonexistent",-29,92963,-408,"1.26",50762
39,"admin.","single","unknown","no","no","no","cellular","nov","fri",504,2,999,1,"failure",-1,932,-42,"4.021",51958
70,"retired","married","basic.4y","no","yes","no","cellular","apr","wed",223,2,999,0,"nonexistent",-18,93075,-471,"1.415",50991
33,"housemaid","married","basic.9y","no","no","no","cellular","jul","tue",860,4,999,0,"nonexistent",14,93918,-427,"4.961",52281
28,"technician","single","university.degree","unknown","no","no","cellular","jul","tue",808,3,999,0,"nonexistent",14,93918,-427,"4.961",52281
33,"admin.","single","university.degree","no","yes","yes","cellular","mar","tue",187,1,999,0,"nonexistent",-18,92843,-50,"1.614",50991
33,"admin.","married","university.degree","no","yes","no","cellular","apr","wed",623,1,6,1,"success",-18,93749,-346,"0.654",50087
38,"technician","married","professional.course","no","no","yes","cellular","mar","thu",196,2,999,0,"nonexistent",-18,92843,-50,"1.757",50991
41,"admin.","divorced","high.school","no","yes","yes","cellular","aug","thu",231,2,0,2,"success",-17,94027,-383,"0.904",49916
35,"services","single","high.school","no","yes","no","telephone","mar","tue",187,3,999,0,"nonexistent",-18,93369,-348,"0.655",50087
24,"admin.","single","university.degree","no","yes","no","cellular","aug","thu",158,1,999,0,"nonexistent",-29,92201,-314,"0.851",50762
56,"management","divorced","university.degree","no","no","no","cellular","sep","tue",277,1,999,1,"failure",-34,92379,-298,"0.75",50175
47,"blue-collar","married","basic.4y","no","yes","no","telephone","jun","mon",2769,4,999,0,"nonexistent",14,94465,-418,"4.96",52281
38,"blue-collar","single","high.school","unknown","yes","no","telephone","jun","wed",936,1,999,0,"nonexistent",14,94465,-418,"4.864",52281
43,"entrepreneur","married","university.degree","no","no","no","cellular","sep","mon",255,1,3,1,"success",-11,94199,-375,"0.882",49636
60,"retired","married","basic.4y","no","no","no","cellular","oct","mon",98,1,999,0,"nonexistent",-34,92431,-269,"0.739",50175
30,"entrepreneur","married","high.school","no","yes","yes","cellular","may","fri",485,1,999,0,"nonexistent",-18,92893,-462,"1.25",50991
31,"blue-collar","divorced","basic.9y","no","no","no","cellular","jul","thu",551,3,999,0,"nonexistent",14,93918,-427,"4.958",52281
42,"services","married","high.school","no","yes","no","cellular","apr","thu",501,1,999,0,"nonexistent",-18,93075,-471,"1.365",50991
54,"blue-collar","married","basic.6y","unknown","no","no","telephone","jun","thu",2025,1,999,0,"nonexistent",14,94465,-418,"4.958",52281
33,"blue-collar","married","basic.9y","no","no","no","cellular","may","fri",728,1,999,0,"nonexistent",-18,92893,-462,"1.313",50991
46,"housemaid","married","basic.4y","unknown","no","no","cellular","jul","fri",1649,2,999,0,"nonexistent",14,93918,-427,"4.963",52281
41,"technician","married","professional.course","no","yes","no","cellular","aug","tue",1344,1,999,0,"nonexistent",14,93444,-361,"4.966",52281
42,"blue-collar","married","basic.6y","no","yes","yes","cellular","mar","tue",185,1,7,3,"failure",-18,93369,-348,"0.652",50087
83,"retired","divorced","basic.4y","no","no","no","cellular","nov","tue",242,1,3,3,"success",-34,92649,-301,"0.716",50175
51,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",212,1,999,0,"nonexistent",-29,92201,-314,"0.829",50762
28,"admin.","single","high.school","no","yes","no","telephone","mar","fri",515,1,999,0,"nonexistent",-18,92843,-50,"1.531",50991
29,"services","single","high.school","no","no","no","cellular","may","thu",854,2,999,1,"failure",-18,92893,-462,"1.266",50991
37,"services","married","basic.6y","unknown","yes","no","cellular","may","fri",679,1,999,1,"failure",-18,92893,-462,"1.25",50991
32,"management","single","university.degree","no","no","no","cellular","jun","mon",257,2,3,1,"success",-29,92963,-408,"1.281",50762
31,"student","single","high.school","no","yes","no","cellular","oct","fri",716,3,999,0,"nonexistent",-11,94601,-495,"1.029",49636
27,"services","single","high.school","no","no","no","cellular","jul","fri",700,5,6,2,"success",-17,94215,-403,"0.896",49916
49,"admin.","married","university.degree","no","no","no","cellular","aug","tue",958,5,999,0,"nonexistent",14,93444,-361,"4.965",52281
56,"blue-collar","divorced","basic.9y","no","yes","no","cellular","nov","wed",1265,3,999,0,"nonexistent",-1,932,-42,"4.12",51958
31,"self-employed","married","university.degree","no","yes","no","cellular","jun","fri",207,1,999,0,"nonexistent",-29,92963,-408,"1.268",50762
78,"retired","married","basic.4y","no","yes","no","cellular","apr","tue",274,1,999,0,"nonexistent",-18,93075,-471,"1.405",50991
37,"admin.","married","university.degree","no","no","no","cellular","aug","wed",996,1,999,0,"nonexistent",14,93444,-361,"4.967",52281
59,"retired","married","high.school","no","yes","no","cellular","jul","fri",1448,17,999,0,"nonexistent",14,93918,-427,"4.962",52281
34,"admin.","single","university.degree","no","yes","no","cellular","aug","thu",518,1,999,0,"nonexistent",14,93444,-361,"4.964",52281
33,"admin.","single","university.degree","no","yes","no","cellular","jun","tue",251,1,999,0,"nonexistent",-29,92963,-408,"1.262",50762
48,"entrepreneur","divorced","high.school","no","no","no","cellular","aug","wed",307,1,999,0,"nonexistent",-29,92201,-314,"0.879",50762
36,"unemployed","married","university.degree","no","no","no","cellular","aug","thu",222,1,999,0,"nonexistent",-29,92201,-314,"0.873",50762
31,"blue-collar","single","high.school","no","yes","no","cellular","nov","wed",522,1,6,1,"success",-1,932,-42,"4.12",51958
31,"admin.","divorced","university.degree","no","no","no","cellular","mar","mon",248,4,999,0,"nonexistent",-18,92843,-50,"1.56",50991
33,"admin.","single","university.degree","no","yes","no","cellular","apr","thu",305,3,999,0,"nonexistent",-18,93749,-346,"0.659",50087
65,"retired","married","basic.4y","no","yes","yes","cellular","oct","wed",190,1,3,3,"success",-11,94601,-495,"0.985",49636
58,"management","divorced","university.degree","no","no","no","telephone","nov","wed",139,1,999,0,"nonexistent",-1,932,-42,"4.286",51958
27,"admin.","single","high.school","no","yes","no","cellular","may","fri",1448,2,999,0,"nonexistent",-18,92893,-462,"1.313",50991
39,"self-employed","divorced","high.school","no","no","no","cellular","sep","tue",108,2,3,1,"success",-34,92379,-298,"0.788",50175
37,"blue-collar","married","basic.4y","no","no","no","cellular","may","thu",345,1,999,0,"nonexistent",-18,92893,-462,"1.266",50991
31,"student","single","unknown","unknown","yes","no","cellular","apr","thu",1156,1,999,1,"failure",-18,93075,-471,"1.41",50991
48,"unemployed","married","professional.course","no","yes","no","cellular","may","wed",236,1,6,2,"success",-18,93876,-40,"0.682",50087
36,"admin.","divorced","high.school","no","no","no","cellular","jul","wed",1960,3,999,0,"nonexistent",14,93918,-427,"4.963",52281
43,"management","married","university.degree","no","no","no","cellular","nov","thu",1192,1,999,0,"nonexistent",-1,932,-42,"4.076",51958
40,"admin.","single","high.school","no","yes","no","cellular","jun","tue",145,1,999,0,"nonexistent",-29,92963,-408,"1.262",50762
52,"admin.","married","university.degree","no","yes","yes","cellular","jun","wed",247,2,999,0,"nonexistent",-29,92963,-408,"1.26",50762
62,"admin.","married","high.school","no","no","no","cellular","oct","tue",318,1,4,3,"success",-11,94601,-495,"1.037",49636
29,"blue-collar","married","basic.4y","unknown","no","no","cellular","may","tue",658,1,999,1,"failure",-18,92893,-462,"1.291",50991
26,"admin.","single","university.degree","no","yes","no","telephone","sep","thu",471,1,7,1,"success",-34,92379,-298,"0.809",50175
62,"admin.","married","high.school","no","no","no","cellular","oct","tue",238,4,18,2,"failure",-11,94601,-495,"1.037",49636
28,"technician","single","university.degree","no","yes","no","cellular","mar","mon",120,3,999,0,"nonexistent",-18,92843,-50,"1.811",50991
38,"unemployed","married","basic.4y","unknown","no","no","cellular","jul","tue",1058,1,999,0,"nonexistent",14,93918,-427,"4.961",52281
36,"admin.","single","university.degree","no","yes","no","telephone","may","tue",521,6,999,0,"nonexistent",-18,92893,-462,"1.344",50991
38,"admin.","single","university.degree","no","yes","no","cellular","mar","mon",111,2,999,0,"nonexistent",-18,92843,-50,"1.811",50991
82,"retired","married","professional.course","no","yes","no","telephone","mar","mon",506,2,999,0,"nonexistent",-18,93369,-348,"0.646",50087
29,"admin.","single","high.school","no","yes","no","cellular","sep","thu",216,1,6,2,"success",-11,94199,-375,"0.879",49636
19,"student","single","unknown","no","yes","no","telephone","apr","tue",396,3,999,0,"nonexistent",-18,93075,-471,"1.405",50991
27,"technician","single","university.degree","no","yes","no","cellular","sep","thu",530,1,3,1,"success",-11,94199,-375,"0.879",49636
30,"admin.","married","university.degree","no","yes","no","cellular","apr","thu",316,1,999,1,"failure",-18,93075,-471,"1.365",50991
31,"self-employed","married","university.degree","no","no","no","cellular","sep","wed",152,1,3,1,"success",-34,92379,-298,"0.768",50175
32,"technician","single","university.degree","no","no","no","cellular","nov","thu",454,1,999,0,"nonexistent",-1,932,-42,"4.076",51958
29,"admin.","single","university.degree","no","yes","no","cellular","aug","fri",520,1,999,0,"nonexistent",14,93444,-361,"4.964",52281
